id,percentage,percentage_fixations,difference,text_portion,percentage_fixations/text_portion
11,78.74,86.14,7.40,0.2712,317.63
12,86.14,92.12,5.98,0.4318,213.34
13,72.32,80.28,7.96,0.1831,438.45
15,10.67,11.63,0.96,0.0096,1211.46
16,73.09,82.10,9.01,0.1767,464.63
17,67.62,76.78,9.16,0.2258,340.04
33,59.68,68.86,9.18,0.1996,344.99
34,40.84,39.02,-1.82,0.0394,990.36
74,25.92,35.08,9.16,0.0883,397.28
76,14.58,18.55,3.97,0.0302,614.24
82,25.92,27.33,1.41,0.1002,272.75
84,19.94,22.05,2.11,0.0138,1597.83
85,9.07,8.79,-0.28,0.0067,1311.94
87,3.23,3.62,0.39,0.0815,44.42
88,43.04,52.24,9.20,0.1950,267.90
92,29.72,29.89,0.17,0.0319,936.99
99,0.65,1.18,0.53,0.0327,36.09
100,14.80,17.52,2.72,0.0388,451.55
102,6.11,8.07,1.96,0.0605,133.39
106,28.53,34.58,6.05,0.1673,206.69
107,19.85,27.07,7.22,0.1566,172.86
108,50.98,55.93,4.95,0.2904,192.60
109,21.10,26.04,4.94,0.2309,112.78
110,28.95,36.48,7.53,0.1127,323.69
112,27.19,38.93,11.74,0.0859,453.20
113,71.79,80.30,8.51,0.3177,252.75
114,6.21,8.45,2.24,0.0655,129.01
115,44.29,53.88,9.59,0.1096,491.61
116,33.82,40.13,6.31,0.1374,292.07
117,19.42,27.01,7.59,0.2078,129.98
118,55.65,64.59,8.94,0.3259,198.19
119,32.01,41.30,9.29,0.1704,242.37
120,4.61,5.73,1.12,0.0729,78.60
121,21.56,28.46,6.90,0.1274,223.39
122,17.13,22.24,5.11,0.1448,153.59
123,20.76,23.88,3.12,0.0770,310.13
124,44.17,52.64,8.47,0.2251,233.85
125,67.04,74.64,7.60,0.2567,290.77
126,91.72,96.58,4.86,0.3012,320.65
127,62.67,70.22,7.55,0.3036,231.29
128,82.99,91.39,8.40,0.1104,827.81
129,82.46,88.72,6.26,0.3774,235.08
130,64.13,75.84,11.71,0.3376,224.64
131,36.79,46.00,9.21,0.1509,304.84
132,57.49,66.01,8.52,0.2948,223.91
133,47.75,56.81,9.06,0.3393,167.43
134,50.94,55.76,4.82,0.1166,478.22
135,34.08,45.99,11.91,0.0984,467.38
136,82.30,89.99,7.69,0.3623,248.39
137,9.37,9.77,0.40,0.0383,255.09
138,62.45,71.66,9.21,0.2127,336.91
139,34.77,40.91,6.14,0.1296,315.66
140,84.88,93.24,8.36,0.2160,431.67
141,67.02,76.41,9.39,0.3471,220.14
142,88.73,97.54,8.81,0.4548,214.47
143,84.33,93.53,9.20,0.6331,147.73
144,92.77,98.83,6.06,0.5094,194.01
146,91.16,98.44,7.28,0.5669,173.65
147,89.90,95.35,5.45,0.6813,139.95
148,37.29,49.18,11.89,0.1218,403.78
149,84.48,92.61,8.13,0.5564,166.45
150,82.97,92.61,9.64,0.6361,145.59
151,85.26,91.20,5.94,0.4956,184.02
152,78.88,85.05,6.17,0.4228,201.16
153,78.95,87.90,8.95,0.5822,150.98
mean,48.36,54.79,6.42,0.2292,342.83
median,44.29,53.88,7.40,0.1831,248.39
