label,count,mean,median,std,min,max
ort_text,9,0.046431863773275045,0.0279448198784223,0.04175413782237942,0.0083323460840625,0.1223902110616878
meme_person_politik,1,0.0456018672145177,0.0456018672145177,,0.0456018672145177,0.0456018672145177
politik_text,3,0.04327084634380566,0.0265420846049354,0.047741575328412854,0.0061449050243224,0.0971255494021592
text,3,0.0382089780048336,0.0471601079778126,0.017426565578893438,0.0181259423061947,0.0493408837304935
meme_text,14,0.03415033280694877,0.02553955523473125,0.03021430869982489,0.0038077208327909,0.1108159158285529
meme_politik_text,6,0.032023757835831355,0.0342769797804025,0.011485721774015412,0.0150861588051104,0.0455395138954768
ort,16,0.02810135034091552,0.0172732482187111,0.027162375899741763,0.0052290418170385,0.1065398311196663
person_politik_text,12,0.022864616797395407,0.022482021149432298,0.01675333169328797,0.0012619757328008,0.0551856300404395
meme_person_text,2,0.0204797567230147,0.0204797567230147,0.00398643875374565,0.0176609188474563,0.0232985945985731
person,49,0.02030120030213059,0.0164229422757662,0.015899285201448104,0.0017626294327086,0.0635076783305077
meme_person_politik_text,7,0.017392737021080528,0.0113091889446971,0.00964562427489985,0.0089914720812309,0.0313525503768183
person_text,8,0.015944512792541787,0.01326255987257355,0.01222324869115829,0.001285862141338,0.0367457310709476
meme,4,0.01511041066971315,0.0106133001570087,0.014140208351012902,0.0035021481562714,0.0357128942085638
person_politik,12,0.011267793628170408,0.008531253713976849,0.008725718017724303,0.0023151487986499,0.0309187547821938
meme_person,6,0.005724591391459716,0.00490330278702435,0.003695149945476638,0.0020710859061418,0.0118236006481392
