label,mean
ort_text,0.046431863773275045
meme_person_politik,0.0456018672145177
politik_text,0.04327084634380566
text,0.0382089780048336
meme_text,0.03415033280694877
meme_politik_text,0.032023757835831355
ort,0.02810135034091552
person_politik_text,0.022864616797395407
meme_person_text,0.0204797567230147
person,0.02030120030213059
meme_person_politik_text,0.017392737021080528
person_text,0.015944512792541787
meme,0.01511041066971315
person_politik,0.011267793628170408
meme_person,0.005724591391459716
