stem,rms_contrast,mask,label
IMG033_00101,0.2167209982872009,00101,person_text
IMG034_00100,0.2151461094617843,00100,person
IMG035_00100,0.1962807923555374,00100,person
IMG036_00100,0.2344962656497955,00100,person
IMG037_00100,0.2652104496955871,00100,person
IMG038_00100,0.3236899375915527,00100,person
IMG039_00100,0.3330175280570984,00100,person
IMG040_00100,0.2471616417169571,00100,person
IMG041_00100,0.2841866612434387,00100,person
IMG042_00100,0.1472547650337219,00100,person
IMG043_00100,0.1696818172931671,00100,person
IMG044_00100,0.2369286119937896,00100,person
IMG045_00100,0.238148882985115,00100,person
IMG046_00100,0.2746880948543548,00100,person
IMG047_00100,0.2184903174638748,00100,person
IMG048_00100,0.2962680757045746,00100,person
IMG049_00100,0.3750697374343872,00100,person
IMG050_00100,0.3725968599319458,00100,person
IMG051_00100,0.3894416689872741,00100,person
IMG052_00100,0.316058486700058,00100,person
IMG053_00100,0.2955839037895202,00100,person
IMG054_00100,0.1778062880039215,00100,person
IMG055_00100,0.3582651615142822,00100,person
IMG056_00100,0.2680457830429077,00100,person
IMG057_00100,0.3047313392162323,00100,person
IMG058_00100,0.1782490462064743,00100,person
IMG059_00100,0.3014975488185882,00100,person
IMG060_00100,0.2428335696458816,00100,person
IMG061_00100,0.2154687643051147,00100,person
IMG062_00100,0.2767910361289978,00100,person
IMG063_00100,0.2825652360916137,00100,person
IMG064_00100,0.1081516370177269,00100,person
IMG065_00100,0.1823190599679947,00100,person
IMG066_00100,0.201105535030365,00100,person
IMG067_00100,0.1401009261608123,00100,person
IMG068_00100,0.179495632648468,00100,person
IMG069_00100,0.2205611765384674,00100,person
IMG070_00100,0.1996487975120544,00100,person
IMG071_00100,0.2155980467796325,00100,person
IMG072_00100,0.2317430227994918,00100,person
IMG073_00100,0.2297952324151992,00100,person
IMG074_00101,0.2117216140031814,00101,person_text
IMG075_00100,0.1572399139404297,00100,person
IMG076_00101,0.2406598180532455,00101,person_text
IMG077_00100,0.2258272767066955,00100,person
IMG078_00100,0.2245383262634277,00100,person
IMG079_00100,0.2585160136222839,00100,person
IMG080_00100,0.2258343249559402,00100,person
IMG081_00100,0.1940861493349075,00100,person
IMG082_00101,0.2898692190647125,00101,person_text
IMG083_00100,0.1863988041877746,00100,person
IMG084_00101,0.171862319111824,00101,person_text
IMG085_00100,0.2189829349517822,00100,person
IMG086_00100,0.1802811473608017,00100,person
IMG087_00101,0.3191004693508148,00101,person_text
IMG088_00111,0.2613745331764221,00111,person_politik_text
IMG089_00110,0.2338749170303344,00110,person_politik
IMG090_00110,0.2438969016075134,00110,person_politik
IMG091_00110,0.1560228765010833,00110,person_politik
IMG092_00111,0.2005298882722854,00111,person_politik_text
IMG093_00110,0.2262264937162399,00110,person_politik
IMG094_00110,0.2148594111204147,00110,person_politik
IMG095_00110,0.2839066684246063,00110,person_politik
IMG096_00110,0.319334328174591,00110,person_politik
IMG097_00110,0.1594312936067581,00110,person_politik
IMG098_00110,0.3104307949542999,00110,person_politik
IMG099_00111,0.2431633621454239,00111,person_politik_text
IMG100_00111,0.2835344970226288,00111,person_politik_text
IMG101_00110,0.2844822108745575,00110,person_politik
IMG102_00111,0.2269957363605499,00111,person_politik_text
IMG103_00110,0.3291740715503692,00110,person_politik
IMG104_00110,0.3061024248600006,00110,person_politik
IMG131_00111,0.1749984472990036,00111,person_politik_text
IMG132_00101,0.291629284620285,00101,person_text
IMG133_00101,0.2853172421455383,00101,person_text
IMG134_00111,0.4291742444038391,00111,person_politik_text
IMG136_00111,0.2998248934745788,00111,person_politik_text
IMG137_00111,0.2439328134059906,00111,person_politik_text
IMG138_00111,0.3363524377346039,00111,person_politik_text
IMG139_00111,0.2885114848613739,00111,person_politik_text
IMG140_00111,0.2346233278512954,00111,person_politik_text
